Date,Time_Hour,bike_stands,Available_Bikes,Available_Bike_Stands,Avail_Bike_Changes,Avail_Bikes_Decrease,Avail_Bikes_Increase,Avail_Bike_Stand_Changes,Avail_Stands_Decrease,Avail_Stands_Increase,address,banking,Elevation,Latitude,Longitude,number,Availability,Date_Time,rain,temp,wetb,dewpt,vappr,rhum,msl,Total_Activity,Weight,Total_System_Bikes,DayofWeek,DayWeek_proc,Avg_Avail_Bikes,Avg_Avail_Bike_Change,old_index,demand,newindex,cluster
2019-03-20,1960-01-01 17:00:00,20,0,20,6,3,9,-6,9,3,Blessington Street,1,19,53.356769,-6.26814,2,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,12,3.11,1017,4,Wed,2,1,134835,-2,2,0
2019-03-20,1960-01-01 17:00:00,20,0,20,4,2,6,-4,6,2,Bolton Street,0,12,53.351182,-6.269859,3,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,8,3.93,1017,4,Wed,3,1,258889,-3,3,0
2019-03-20,1960-01-01 17:00:00,20,0,20,0,3,3,0,3,3,Greek Street,0,8,53.346874,-6.272976,4,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,6,2.97,1017,4,Wed,2,0,462884,-2,4,0
2019-03-20,1960-01-01 17:00:00,40,15,25,10,1,11,-10,11,1,Charlemont Street,0,25,53.330662,-6.260177,5,0.375,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,12,9.66,1017,4,Wed,18,0,98500,-3,5,0
2019-03-20,1960-01-01 17:00:00,20,1,19,5,3,8,-5,8,3,Christchurch Place,0,20,53.343368,-6.27012,6,0.05,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,11,3.3,1017,4,Wed,2,1,29662,-1,6,0
2019-03-20,1960-01-01 17:00:00,29,10,19,-5,5,0,5,0,5,High Street,1,15,53.343565,-6.275071,7,0.3448275862,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,5,2.95,1017,4,Wed,8,0,86303,2,7,0
2019-03-20,1960-01-01 17:00:00,30,26,4,-9,12,3,9,3,12,Custom House Quay,0,6,53.347884,-6.248048,8,0.8666666667,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,15,6.2,1017,4,Wed,19,-9,154633,7,8,0
2019-03-20,1960-01-01 17:00:00,24,2,22,6,6,12,-7,12,5,Exchequer Street,0,10,53.343034,-6.263578,9,0.0833333333,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,18,7.33,1017,4,Wed,10,2,275134,-8,9,0
2019-03-20,1960-01-01 17:00:00,16,1,15,6,2,8,-6,8,2,Dame Street,1,17,53.344007,-6.266802,10,0.0625,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,10,4.34,1017,4,Wed,7,3,282505,-6,10,0
2019-03-20,1960-01-01 17:00:00,30,0,30,0,12,12,0,12,12,Earlsfort Terrace,0,17,53.334019,-6.258371,11,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,24,3.67,1017,4,Wed,1,0,81082,-1,11,0
2019-03-20,1960-01-01 17:00:00,20,1,19,4,4,8,-4,8,4,Eccles Street,0,24,53.359246,-6.269779,12,0.05,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,12,2.84,1017,4,Wed,3,4,168648,-2,12,0
